le영화명,메이저제작사,메이저배급사,전국스크린수,전국매출액,전국관객수,상영횟수,독립여부,스타파워,감독파워,관람객평점,평론가평점,네티즌평점,청불,15세,12세,전체
아웃도어비긴즈,0 ,,5 ,175000 ,45 ,45 ,1 ,0 ,0 ,,,6 ,1 ,0 ,0 ,0 
독전,1 ,1 ,1532 ,44331321713 ,5201555 ,145660 ,0 ,1 ,1 ,8 ,5 ,8 ,0 ,1 ,0 ,0 
다이빙벨그후,0 ,0 ,48 ,23524000 ,2981 ,411 ,1 ,0 ,0 ,10 ,3 ,6 ,0 ,0 ,1 ,0 
서산개척단,0 ,0 ,52 ,43554100 ,5260 ,769 ,1 ,0 ,0 ,10 ,8 ,8 ,0 ,0 ,1 ,0 
열대야,0 ,0 ,2 ,504600 ,64 ,13 ,1 ,0 ,0 ,,,8 ,0 ,1 ,0 ,0 
오목소녀,0 ,0 ,17 ,9726300 ,1650 ,422 ,1 ,0 ,0 ,8 ,6 ,6 ,0 ,0 ,0 ,1 
2017동명이인프로젝트,0 ,0 ,1 ,160000 ,16 ,3 ,1 ,0 ,0 ,,,,0 ,0 ,1 ,0 
데자뷰,1 ,1 ,536 ,360833100 ,48279 ,8117 ,0 ,0 ,0 ,7 ,,4 ,0 ,1 ,0 ,0 
홈,0 ,0 ,123 ,59638222 ,8257 ,1495 ,1 ,0 ,0 ,8 ,6 ,9 ,0 ,0 ,0 ,1 
남자와여자,0 ,0 ,3 ,18760700 ,2297 ,40 ,1 ,0 ,0 ,10 ,,4 ,0 ,0 ,1 ,0 
참외향기,0 ,0 ,6 ,4610200 ,1006 ,96 ,1 ,0 ,0 ,9 ,3 ,9 ,0 ,0 ,0 ,1 
탐정:리턴즈,1 ,1 ,1137 ,26909459678 ,3152872 ,107907 ,0 ,1 ,1 ,9 ,6 ,8 ,0 ,1 ,0 ,0 
여중생A,1 ,1 ,479 ,811686000 ,97849 ,10242 ,0 ,1 ,0 ,7 ,6 ,6 ,0 ,0 ,1 ,0 
더펜션,0 ,0 ,90 ,30492000 ,3340 ,663 ,0 ,1 ,0 ,9 ,5 ,6 ,0 ,1 ,0 ,0 
천사의시간,0 ,0 ,5 ,105000 ,31 ,31 ,1 ,0 ,0 ,,,5 ,0 ,0 ,1 ,0 
튼튼이의모험,0 ,1 ,88 ,34828600 ,4701 ,1066 ,1 ,0 ,0 ,9 ,7 ,8 ,0 ,1 ,0 ,0 
마녀,1 ,1 ,1117 ,27242029463 ,3189091 ,90841 ,0 ,1 ,1 ,9 ,6 ,8 ,0 ,1 ,0 ,0 
허스토리,0 ,1 ,696 ,2521025949 ,336822 ,20404 ,0 ,1 ,1 ,10 ,7 ,9 ,0 ,0 ,1 ,0 
그림자먹는개,0 ,0 ,5 ,104000 ,17 ,11 ,1 ,0 ,0 ,,,3 ,1 ,0 ,0 ,0 
나와봄날의약속,0 ,1 ,86 ,22032500 ,2929 ,701 ,1 ,0 ,0 ,7 ,6 ,4 ,0 ,1 ,0 ,0 
너와극장에서,0 ,0 ,16 ,12622100 ,1808 ,315 ,1 ,0 ,0 ,9 ,6 ,7 ,0 ,0 ,1 ,0 
메멘토모리,0 ,0 ,7 ,1237800 ,151 ,59 ,1 ,0 ,0 ,9 ,,4 ,0 ,1 ,0 ,0 
애연,0 ,0 ,5 ,39000 ,39 ,39 ,1 ,0 ,0 ,,,8 ,0 ,0 ,1 ,0 
